1432289781890	-0.029907227,-0.03955078,-1.0390625	126.99646,1.7523193,-179.07166
1432289781921	-0.030639648,-0.03845215,-1.0345459	127.00195,1.7468262,-179.08264
1432289781961	-0.028564453,-0.036010742,-1.0412598	127.00745,1.7578125,-179.07166
1432289782011	-0.029052734,-0.03955078,-1.0394287	126.99646,1.7358398,-179.08813
1432289782297	-0.034423828,-0.037597656,-1.0351563	126.99097,1.7303467,-179.07715
1432289782377	-0.028808594,-0.039916992,-1.0371094	126.97449,1.7193604,-179.09363
1432289782420	-0.026611328,-0.038330078,-1.0325928	126.97998,1.7248535,-179.07715
1432289782469	-0.03466797,-0.03930664,-1.0354004	126.97449,1.7138672,-179.08264
1432289782530	-0.034057617,-0.03552246,-1.0316162	126.95801,1.7028809,-179.10461
1432289782597	-0.026245117,-0.03869629,-1.0384521	126.97449,1.741333,-179.06067
1432289782646	-0.026367188,-0.041870117,-1.036377	126.9635,1.7303467,-179.07715
1432289782697	-0.025756836,-0.04309082,-1.0354004	126.94702,1.7028809,-179.09363
1432289782754	-0.027709961,-0.036010742,-1.0317383	126.952515,1.7138672,-179.06616
1432289782810	-0.030273438,-0.03540039,-1.033081	126.97449,1.7523193,-179.04968
1432289782888	-0.032348633,-0.038085938,-1.0412598	126.97998,1.7633057,-179.0332
1432289782929	-0.029663086,-0.045654297,-1.03479	127.00195,1.7907715,-179.00574
1432289782986	-0.030517578,-0.040527344,-1.0284424	127.00745,1.7907715,-179.00574
1432289783060	-0.026123047,-0.037719727,-1.0313721	126.99646,1.7907715,-179.00574
1432289783102	-0.026855469,-0.040283203,-1.0334473	127.00745,1.8017578,-179.00574
1432289783147	-0.025024414,-0.0423584,-1.0356445	126.99646,1.7797852,-179.01672
1432289783289	-0.027832031,-0.036743164,-1.0338135	126.97998,1.741333,-179.04419
1432289783339	-0.025024414,-0.038208008,-1.0374756	126.97449,1.7303467,-179.04968
1432289783556	-0.02722168,-0.036499023,-1.0345459	127.03491,1.807251,-179.00574
1432289783689	-0.028808594,-0.039794922,-1.0411377	127.01843,1.774292,-179.02771
1432289783728	-0.02746582,-0.04272461,-1.0357666	127.023926,1.7797852,-179.01672
1432289783775	-0.028564453,-0.041992188,-1.0388184	127.01843,1.7578125,-179.04968
1432289783912	-0.026245117,-0.035888672,-1.0325928	127.03491,1.7687988,-179.01123
1432289783963	-0.028198242,-0.040161133,-1.0317383	127.03491,1.7687988,-179.01672
1432289784018	-0.026733398,-0.045288086,-1.0438232	127.023926,1.7523193,-179.02771
1432289784093	-0.026489258,-0.04345703,-1.0395508	127.02942,1.7687988,-179.01123
1432289784138	-0.033325195,-0.03942871,-1.0366211	127.040405,1.7907715,-178.99475
1432289784183	-0.033447266,-0.03955078,-1.0358887	127.040405,1.7907715,-178.98926
1432289784281	-0.026000977,-0.037353516,-1.03479	127.0459,1.7907715,-178.98926
1432289784420	-0.030639648,-0.044433594,-1.0321045	127.056885,1.7962646,-178.98376
1432289784468	-0.027709961,-0.03918457,-1.0378418	127.0459,1.7797852,-179.00024
1432289784518	-0.032348633,-0.03857422,-1.0386963	127.0459,1.7797852,-179.00574
1432289784593	-0.034301758,-0.03894043,-1.0356445	127.08435,1.8237305,-178.9563
1432289784873	-0.02746582,-0.03491211,-1.0321045	127.06238,1.7852783,-179.0387
1432289784917	-0.028076172,-0.03527832,-1.0384521	127.073364,1.8017578,-179.02771
1432289785011	-0.029296875,-0.037963867,-1.0323486	127.06787,1.774292,-179.04968
1432289785048	-0.030639648,-0.038208008,-1.0405273	127.06238,1.774292,-179.05518
1432289785091	-0.028198242,-0.036010742,-1.0303955	127.07886,1.7962646,-179.02222
1432289785179	-0.032104492,-0.03918457,-1.0404053	127.073364,1.7852783,-179.0332
1432289785229	-0.03149414,-0.037963867,-1.0380859	127.056885,1.7633057,-179.06067
1432289785264	-0.032836914,-0.038330078,-1.0366211	127.03491,1.7468262,-179.08813
1432289785331	-0.02709961,-0.040161133,-1.0336914	127.05139,1.7633057,-179.07715
1432289785400	-0.024902344,-0.041992188,-1.0314941	127.023926,1.7193604,-179.10461
1432289785441	-0.029785156,-0.040893555,-1.0379639	127.01294,1.7028809,-179.12659
1432289785575	-0.029296875,-0.042236328,-1.0421143	127.00745,1.6864014,-179.1156
1432289785619	-0.029174805,-0.037353516,-1.0352783	127.00195,1.6699219,-179.1211
1432289785665	-0.025878906,-0.03869629,-1.041748	126.99646,1.6699219,-179.1211
1432289785802	-0.029174805,-0.037231445,-1.0388184	126.95801,1.6149902,-179.14856
1432289785842	-0.028076172,-0.033935547,-1.0355225	126.95801,1.6204834,-179.14856
1432289785890	-0.030273438,-0.040771484,-1.0383301	126.95801,1.6314697,-179.13757
1432289786129	-0.029907227,-0.038330078,-1.0400391	126.919556,1.6094971,-179.15405
1432289786182	-0.03100586,-0.03527832,-1.0361328	126.919556,1.6259766,-179.14856
1432289786301	-0.024047852,-0.040161133,-1.0413818	126.93054,1.642456,-179.09912
1432289786351	-0.026611328,-0.04260254,-1.0423584	126.92505,1.6479492,-179.1101
1432289786406	-0.023071289,-0.041748047,-1.0390625	126.92505,1.6479492,-179.10461
